AÑO,CATEGORIAS,ANALISIS,COMUNIDAD AUTONOMA,CANTIDAD
2000,Frutas frescas,Gasto x cápita (miles de euros),BALEARES,92.55986553135307
2000,Frutos secos,Gasto x cápita (miles de euros),BALEARES,8.690601774834219
2000,Frutas y hortalizas transformadas,Gasto x cápita (miles de euros),BALEARES,20.38337678516707
2000,Platos preparados,Gasto x cápita (miles de euros),BALEARES,30.939922290937297
2000,Cafes e infusiones,Gasto x cápita (miles de euros),BALEARES,13.452044519332672
2000,Caldos,Gasto x cápita (miles de euros),BALEARES,1.7396091355264662
2000,Salsas,Gasto x cápita (miles de euros),BALEARES,4.709221404518695
2000,Gaseosas y bebidas refrescantes,Gasto x cápita (miles de euros),BALEARES,29.298435847874348
2000,Otros productos en peso,Gasto x cápita (miles de euros),BALEARES,11.954793873375376
2000,Otros productos en volumen,Gasto x cápita (miles de euros),BALEARES,2.02125579478721
2000,Miel,Consumo x cápita (miles de kg o litros),VALENCIA,0.5525018985085162
2000,Carne,Consumo x cápita (miles de kg o litros),VALENCIA,55.02771286156928
2000,Pescados y mariscos,Consumo x cápita (miles de kg o litros),VALENCIA,21.344757169325153
2000,Leche líquida,Consumo x cápita (miles de kg o litros),VALENCIA,86.46695895619757
2000,Otras leches,Consumo x cápita (miles de kg o litros),VALENCIA,0.7410580559958491
2000,Derivados lacteos,Consumo x cápita (miles de kg o litros),VALENCIA,26.842801274327467
2000,Pan,Consumo x cápita (miles de kg o litros),VALENCIA,43.589308905278614
2000,"Bolleria, pastelería, galletas y cereales",Consumo x cápita (miles de kg o litros),VALENCIA,10.886789664354925
2000,Productos navideños,Consumo x cápita (miles de kg o litros),VALENCIA,0.7292364149933572
2000,Chocolates,Consumo x cápita (miles de kg o litros),VALENCIA,2.6323583392926
2000,Arroz,Consumo x cápita (miles de kg o litros),VALENCIA,7.480974399788221
2000,Pastas,Consumo x cápita (miles de kg o litros),VALENCIA,3.8128357411791196
2000,Azucar,Consumo x cápita (miles de kg o litros),VALENCIA,4.298386041414371
2000,Edulcorante,Consumo x cápita (miles de kg o litros),VALENCIA,0.1317149144142033
2000,Legumbres,Consumo x cápita (miles de kg o litros),VALENCIA,3.2208611669938136
2000,Aceites,Consumo x cápita (miles de kg o litros),VALENCIA,12.351780624603203
2000,Margarinas,Consumo x cápita (miles de kg o litros),VALENCIA,0.5793907225524536
2000,Aceitunas,Consumo x cápita (miles de kg o litros),VALENCIA,2.6137063075444926
2000,Vinos,Consumo x cápita (miles de kg o litros),VALENCIA,12.46672690514948
2000,Cervezas,Consumo x cápita (miles de kg o litros),VALENCIA,14.20780776692205
2000,Patatas,Consumo x cápita (miles de kg o litros),VALENCIA,31.618235279332612
2000,Hortalizas frescas,Consumo x cápita (miles de kg o litros),VALENCIA,60.66766829222483
2000,Frutas frescas,Consumo x cápita (miles de kg o litros),VALENCIA,74.55292819033015
2000,Frutos secos,Consumo x cápita (miles de kg o litros),VALENCIA,2.6543813090220767
