AÑO,CATEGORIAS,COMUNIDAD AUTONOMA,CANTIDAD
2001,KIWI,ESPAÑA,96525.31000000001
2001,OTRAS FRUTAS FRESCAS,ESPAÑA,146257.06
2001,FRUTOS SECOS,ESPAÑA,93906.40999999999
2001,TOMATES,ESPAÑA,195424.84000000003
2001,TOMATE FRITO,ESPAÑA,122563.07
2001,P.P.CONSERVA CARNE,ESPAÑA,22497.670000000002
2001,P.P.CONSERV PESCADO,ESPAÑA,60.17
2001,P.P.CONGELADO CARNE,ESPAÑA,22171.7
2001,P.P.CONGEL.PESCADO,ESPAÑA,35943.76
2001,P.P.CONGEL.VEGETAL,ESPAÑA,7046.599999999999
2001,OTROS P.P.CONGELADO,ESPAÑA,14245.68
2001,P.P.SOPAS Y CREMAS,ESPAÑA,108932.47
2001,P.P.PIZZA,ESPAÑA,44063.17
2001,PLAT.PREP.OTROS,ESPAÑA,23356.989999999998
2001,CAFE G. O M.TORREFAC,ESPAÑA,1303.5500000000002
2001,CAFE G. O M.NATURAL,ESPAÑA,21380.18
2001,CAFE G. O M.MEZCLA,ESPAÑA,26600.239999999998
2001,CAFE G. O M.DESCA,ESPAÑA,7866.169999999999
2001,CAFE SOLUBLE,ESPAÑA,7686.270000000001
2001,SUCEDANEOS DE CAFE,ESPAÑA,4761.01
2001,TE,ESPAÑA,572.0000000000001
2001,MANZANILLA,ESPAÑA,593.78
2001,POLEO,ESPAÑA,335.19000000000005
2001,OTRAS INFUSIONES,ESPAÑA,1040.18
2001,CALDOS,ESPAÑA,8153.07
2001,SALSAS,ESPAÑA,69233.7
2001,AGUA DE BEBIDA ENVAS.,ESPAÑA,1613901.5700000003
2001,GASEOSAS Y BEBID.REFR,ESPAÑA,1603067.25
2001,OTROS PROD.EN PESO,ESPAÑA,226307.97999999998
2001,OTROS PROD.EN VOLUMEN,ESPAÑA,64651.27
2002,T.HUEVOS KGS,ESPAÑA,416069.26
2002,OTRAS AVES,ESPAÑA,61926.71
2002,MIEL,ESPAÑA,20159.63
2002,CARNE VACUNO,ESPAÑA,305410.12999999995
2002,CARNE POLLO,ESPAÑA,608810.29
2002,CARNE CONEJO,ESPAÑA,61253.06999999999
2002,CARNE OVINO/CAPRINO,ESPAÑA,126923.91
2002,CARNE CERDO,ESPAÑA,486477.91000000003
2002,CARNE DESPOJOS,ESPAÑA,45975.5
2002,OTRAS CARNES FRESCA,ESPAÑA,99839.73000000001
2002,CARNE CONGELADA,ESPAÑA,32341.439999999995
2002,CARNE TRANSFORMADA,ESPAÑA,494871.3699999999
2002,TOCINO Y MANTECA,ESPAÑA,8850.27
2002,PESCADOS FRESCOS,ESPAÑA,551412.59
2002,PESCADOS CONGELADOS,ESPAÑA,132243.75
2002,MARISCO/MOLUSCO/CRUS,ESPAÑA,287608.69
2002,CONS.PESCADO/MOLUSCO,ESPAÑA,150684.65999999997
2002,SALMON AHUMADO,ESPAÑA,0.0
2002,TRUCHA AHUMADA,ESPAÑA,0.0
2002,OTROS AHUMADOS,ESPAÑA,0.0
2002,LECHE ENTERA,ESPAÑA,1666562.61
2002,LECHE DESNATADA,ESPAÑA,859594.02
2002,LECHE SEMIDESNATAD,ESPAÑA,1225322.5
2002,TOTAL OTRAS LECHES,ESPAÑA,26852.36
2002,PREPARADOS LACTEOS,ESPAÑA,66073.69
2002,BATIDOS DE LECHE,ESPAÑA,72603.08
2002,BATIDOS DE YOGURT,ESPAÑA,26593.730000000003
2002,MANTEQUILLA,ESPAÑA,6054.83
2002,QUESO,ESPAÑA,254641.22000000003
2002,HELADOS Y TARTAS,ESPAÑA,86382.71
2002,NATA,ESPAÑA,41336.67
2002,CUAJADAS,ESPAÑA,15408.619999999999
2002,OT.DERIVADOS LACTEOS,ESPAÑA,137944.58
2002,PAN,ESPAÑA,2025292.75
2002,BOLL./PAST.ENVASADA,ESPAÑA,146042.35
2002,GALLETAS ENVASADAS,ESPAÑA,164666.91999999998
2002,CEREALES DESAY.ENV.,ESPAÑA,41968.85
2002,BOLL./PAST.GRANEL,ESPAÑA,76172.78
2002,GALLETAS GRANEL,ESPAÑA,3604.4100000000003
2002,PRODUCTOS NAVIDEÑOS,ESPAÑA,41813.16
2002,CHOCOLATES/CACAOS/SUC,ESPAÑA,119327.02
2002,TURRON DE CHOCOLATE,ESPAÑA,7246.599999999999
2002,ARROZ,ESPAÑA,197720.25
2002,TOTAL PASTAS,ESPAÑA,146086.45
2002,AZUCAR,ESPAÑA,200573.03
2002,EDULCORANTES,ESPAÑA,3568.51
2002,LEGUMBRES SECAS,ESPAÑA,0.0
2002,LEGUMBRES COCIDAS,ESPAÑA,0.0
2002,TOTAL ACEITES DE OLIVA,ESPAÑA,419597.75
2002,ACEITE DE GIRASOL,ESPAÑA,157197.83000000002
2002,ACEITE DE MAIZ,ESPAÑA,2049.97
2002,ACEITE DE SOJA,ESPAÑA,0.0
2002,ACEITE DE SEMILLA,ESPAÑA,16220.2
